ID;Year;Month;Country;Country Code;Agency;Organisation;Cluster;Item;Quantity;Province / Branch
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Tarpaulins Standard  (6x4 meter - non branded);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Tarpaulins- other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Plastic sheeting rolls;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Blankets Standard (to be defined);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Blankets - other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Chainsaw;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Shelter Tool Kit Standards (IFRC type);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Shelter Kits -other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Lamp/Torch;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Solar lanterns;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Ropes;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Kitchen sets - Standard (IFRC -Type A);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Kitchen sets - other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Tent - standard 16m2 (To be defined);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Tents - other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Storage Tents;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;SHELTER;Sleeping Mats;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Water Bladder 5000L=>10000L;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Water bladder 1500L => 4000L;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Tap Stand;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Water Purification Tablets 33mg;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Water Purification Tablets 67mg;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Jerry cans Standards (10L);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Jerry Cans - other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Hygiene kits Standards (To be defined);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Hygiene kits - Local/Other ;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Oxfam type Bucket;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Bucket - other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Soaps;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Water Treatment Plants;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;WATSAN;Desalination Unit;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;HEALTH;Mosquito Nets Standards (To be defined);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;HEALTH;Mosquito Nets - other;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;HEALTH;Basic Unit IEHK ;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;ETC;Emergency Telecom kits;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;ETC;VHF Handsets and Programming Kit;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;ETC;Satellite Phones;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;OTHERS;Agriculture Tool Kits Standards (To be defined);0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;OTHERS;Generators;0;
AUADRA;2016;Oct;Australia;AU;ADRA;INGO;OTHERS;School bags;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Tarpaulins Standard  (6x4 meter - non branded);1000;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Tarpaulins- other;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Plastic sheeting rolls;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Blankets Standard (to be defined);0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Blankets - other;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Chainsaw;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Shelter Tool Kit Standards (IFRC type);0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Shelter Kits -other;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Lamp/Torch;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Solar lanterns;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Ropes;0;
AUCARE International;2016;Oct;Australia;AU;CARE International;INGO;SHELTER;Kitchen sets - Standard (IFRC -Type A);0;
